;Definition;Type;Example;synonyms
Asian;"Asian means belonging to or relating to Asia. British people use this term especially to refer to India, Pakistan, and Bangladesh. Americans use this term especially to refer to China, Korea, Thailand, Japan, or Vietnam.
";adjective; ...Asian music.;
aside;"If you move something aside, you move it to one side of you.
";adverb; Sarah closed the book and laid it aside.;away,alone,separately,apart,notwithstanding,interpolation,remark,digression,
ask;"If you ask someone something, you say something to them in the form of a question because you want to know the answer.
";verb; 'How is Frank?' he asked.;inquire,question,quiz,query,request,invite,bid,summon,
asleep;"Someone who is asleep is sleeping.
";adjective; My four-year-old daughter was asleep on the sofa.;dormant,
aspect;"An aspect of something is one of the parts of its character or nature.
";countable noun; Climate and weather affect every aspect of our lives.;feature,point,side,factor,position,view,situation,scene,appearance,look,air,condition,
assault;"An assault by an army is a strong attack made on an area held by the enemy.
";countable noun; The rebels are poised for a new assault on the government garrisons.;attack,campaign,strike,rush,battery,attack,beating,strike,attack,beat,knock,abuse,attack,blame,criticism,
assert;"If someone asserts a fact or belief, they state it firmly.
";verb; Mr. Helm plans to assert that the bill violates the First Amendment.;state,argue,maintain,declare,statement,claim,allegation,profession,stress,defend,uphold,insistence,defence,maintenance,
assess;"When you assess a person, thing, or situation, you consider them in order to make a judgment about them.
";verb; Our correspondent has been assessing the impact of the sanctions.;judge,determine,estimate,fix,evaluate,rate,tax,value,
assessment;"An assessment is a consideration of someone or something and a judgment about them.
";variable noun; There is little assessment of the damage to the natural environment.;judgment,analysis,determination,evaluation,
asset;"Something or someone that is an asset is considered useful or helps a person or organization to be successful.
";countable noun; He considered that the greatest asset of a bank was its reputation for probity. ;
assign;"If you assign a piece of work to someone, you give them the work to do.
";verb; When I taught, I would assign a topic to children which they would write about.;give,set,grant,allocate,allocate,give,determine,fix,post,commission,elect,attribute,credit,
assignment;"An assignment is a task or piece of work that you are given to do, especially as part of your job or studies.
";countable noun; The assessment for the course involves written assignments and practical tests.;task,work,job,charge,
assist;"If you assist someone, you help them to do a job or task by doing part of the work for them.
";verb; Julia was assisting him to prepare his speech.;help,back,support,further,facilitate,help,further,serve,
assistance;"If you give someone assistance, you help them do a job or task by doing part of the work for them.
";uncountable noun; Since 1976 he has been operating the shop with the assistance of volunteers.;help,backing,service,support,
assistant;"Assistant is used in front of titles or jobs to indicate a slightly lower rank. For example, an assistant director is one rank lower than a director in an organization.
";adjective; ...the Assistant Secretary of Defense.;helper,partner,ally,colleague,
associate;"If you associate someone or something with another thing, the two are connected in your mind.
";verb; Through science we've got the idea of associating progress with the future.;connect,couple,league,link,affiliate,unite,join,link,socialize,mix,accompany,partner,friend,ally,colleague,
association;"An association is an official group of people who have the same job, aim, or interest.
";countable noun; ...the Association of British Travel Agents.;friendship,relationship,link,tie,
assume;"If you assume that something is true, you imagine that it is true, sometimes wrongly.
";verb; It is a misconception to assume that the two continents are similar.;presume,think,believe,expect,take,appropriate,acquire,simulate,affect,adopt,
assumption;"If you make an assumption that something is true or will happen, you accept that it is true or will happen, often without any real proof.
";countable noun;" They have taken a wrong turning in their assumption that all men and women think
alike.";presumption,theory,opinion,belief,
